0	0	0	0	0
1	5	5	5	5
2	15	15	15	10
3	20	20	35	15
4	25	25	44	20
5	35	30	48	28
6	40	35	66	38
7	58	45	75	46
8	63	64	80	64
9	73	74	99	82
10	91	93	117	99
11	94	98	127	116
12	104	108	136	136
13	119	113	155	153
14	123	122	174	172
15	126	131	191	179
16	134	149	210	183
17	143	159	228	189
18	147	162	247	207
19	164	166	265	211
20	167	171	283	214
21	174	187	301	217
22	179	196	320	226
23	185	200	338	230
24	189	201	357	239
25	191	205	373	249
26	196	224	389	256
27	209	234	398	258
28	223	243	414	273
29	232	252	432	288
30	241	271	446	293
31	248	291	466	297
32	256	306	485	305
33	260	324	503	312
34	264	342	523	315
35	271	361	541	327
36	275	379	559	330
37	279	394	576	344
38	294	412	596	347
39	298	416	615	365
40	301	432	629	382
41	304	442	648	399
42	317	450	661	414
43	324	458	679	431
44	326	477	695	444
45	333	485	711	461
46	345	504	729	472
47	349	522	741	489
48	351	542	759	500
49	356	551	768	515
50	361	561	786	532
51	374	581	801	551
52	382	589	816	566
53	394	599	833	583
54	397	606	851	599
55	401	625	867	611
56	405	644	885	625
57	416	660	900	641
58	425	678	919	654
59	428	687	937	670
60	432	705	955	685
61	434	723	973	704
62	438	741	991	719
63	441	759	1002	734
64	447	776	1011	750
65	451	780	1020	765
66	453	783	-	783
67	455	791	-	796
68	457	798	-	810
69	459	814	-	829
70	461	833	-	844
71	465	849	-	863
72	467	867	-	876
73	468	886	-	894
74	471	896	-	910
75	474	905	-	921
76	479	920	-	932
77	484	936	-	947
78	487	943	-	965
79	488	961	-	983
80	500	968	-	999
81	500	983	-	1017
82	501	984	-	1023
83	504	991	-	-
84	513	1010	-	-
85	516	-	-	-
86	519	-	-	-
87	531	-	-	-
88	532	-	-	-
89	544	-	-	-
90	549	-	-	-
91	555	-	-	-
92	561	-	-	-
93	573	-	-	-
94	574	-	-	-
95	577	-	-	-
96	582	-	-	-
97	590	-	-	-
98	596	-	-	-
99	601	-	-	-
100	612	-	-	-
101	616	-	-	-
102	624	-	-	-
103	633	-	-	-
104	639	-	-	-
105	643	-	-	-
106	644	-	-	-
107	653	-	-	-
108	658	-	-	-
109	663	-	-	-
110	673	-	-	-
111	674	-	-	-
112	675	-	-	-
113	676	-	-	-
114	677	-	-	-
115	679	-	-	-
116	681	-	-	-
117	684	-	-	-
118	687	-	-	-
119	690	-	-	-
120	693	-	-	-
121	694	-	-	-
122	694	-	-	-
123	699	-	-	-
124	702	-	-	-
125	703	-	-	-
126	708	-	-	-
127	711	-	-	-
128	720	-	-	-
129	721	-	-	-
130	721	-	-	-
131	733	-	-	-
132	743	-	-	-
133	747	-	-	-
134	749	-	-	-
135	759	-	-	-
136	759	-	-	-
137	769	-	-	-
138	774	-	-	-
139	776	-	-	-
140	776	-	-	-
141	785	-	-	-
142	789	-	-	-
143	791	-	-	-
144	791	-	-	-
145	793	-	-	-
146	795	-	-	-
147	798	-	-	-
148	799	-	-	-
149	801	-	-	-
150	802	-	-	-
151	805	-	-	-
152	809	-	-	-
153	813	-	-	-
154	813	-	-	-
