694	59.75	-	-	-	-	-	-
699	60.25	-	-	-	-	-	-
702	60.75	-	-	-	-	-	-
703	61	-	-	-	-	-	-
708	62	-	-	-	-	-	-
711	62.5	-	-	-	-	-	-
720	63.5	-	-	-	-	-	-
721	64	-	-	-	-	-	-
721	64.25	-	-	-	-	-	-
733	65.25	-	-	-	-	-	-
743	66.25	-	-	-	-	-	-
747	66.75	-	-	-	-	-	-
749	67	-	-	-	-	-	-
759	68	-	-	-	-	-	-
759	68.25	-	-	-	-	-	-
769	69.25	-	-	-	-	-	-
774	70.25	-	-	-	-	-	-
776	70.75	-	-	-	-	-	-
776	71.25	-	-	-	-	-	-
785	72.25	-	-	-	-	-	-
789	72.75	-	-	-	-	-	-
791	73.25	-	-	-	-	-	-
791	73.5	-	-	-	-	-	-
793	74	-	-	-	-	-	-
795	74.5	-	-	-	-	-	-
798	75	-	-	-	-	-	-
799	75.25	-	-	-	-	-	-
801	76.25	-	-	-	-	-	-
802	76.75	-	-	-	-	-	-
805	77.75	-	-	-	-	-	-
809	78.75	-	-	-	-	-	-
813	79.75	-	-	-	-	-	-
813	80	-	-	-	-	-	-
